fold,fold_safe_name,genogroup,n_id,n_novel,k,auroc,bal_acc,bal_acc_threshold
18C,18C,18,53514,43,10,0.9668271984466574,0.9479714502008167,0.10421013832092285
18C,18C,18,53514,43,20,0.9643557738857296,0.9457197029944783,0.16328710317611694
18C,18C,18,53514,43,50,0.9724788384000361,0.9519423736974719,0.27776551246643066
18C,18C,18,53514,43,100,0.969141307078087,0.9413096420758402,0.2979542016983032
18C,18C,18,53514,43,200,0.9661121062864663,0.9396652125807547,0.3237536549568176
18C,18C,18,53514,43,500,0.9509043927648579,0.930807717345863,0.4032938480377197
18C,18C,18,53514,43,1000,0.8514007636341197,0.8420035270057564,0.5687947869300842
18F,18F,18,54081,8,1,0.9759388694735673,0.9653945008413306,0.009039759635925293
18F,18F,18,54081,8,5,0.9576214382130508,0.9435476415007119,0.023356080055236816
18F,18F,18,54081,8,10,0.940041326898541,0.9229858915330708,0.02375972270965576
18F,18F,18,54081,8,20,0.9240098186054252,0.9053826667406297,0.03224259614944458
18F,18F,18,54081,8,50,0.8927973780070635,0.8852277139845787,0.055888354778289795
18F,18F,18,54081,8,100,0.8583606072372921,0.8544498067713244,0.0767364501953125
18F,18F,18,54081,8,200,0.8289695086999131,0.8023058005584216,0.08743023872375488
18F,18F,18,54081,8,500,0.8814301695604742,0.8935947929956917,0.2788463234901428
18F,18F,18,54081,8,1000,0.8464456093637321,0.8664873060779201,0.49128806591033936
19A,19A,19A,51020,85,1,0.9508888094634169,0.9475430626974428,0.00746232271194458
19A,19A,19A,51020,85,5,0.9406786266054835,0.9413984135402496,0.053142666816711426
19A,19A,19A,51020,85,10,0.9324746927387182,0.925875089353656,0.060254693031311035
19A,19A,19A,51020,85,20,0.9191601909285863,0.920906449604538,0.10721695423126221
19A,19A,19A,51020,85,50,0.9110798533447091,0.8935273364539857,0.11161673069000244
19A,19A,19A,51020,85,100,0.8946139922060553,0.8577080498996933,0.11161941289901733
19A,19A,19A,51020,85,200,0.8765903797818617,0.8271952175617405,0.12448263168334961
19A,19A,19A,51020,85,500,0.8158738211082159,0.7614147854359306,0.16519790887832642
19A,19A,19A,51020,85,1000,0.6658441902829341,0.6857212857702861,0.17868155241012573
19B,19B,19B_19C,54015,21,1,0.9836200702626695,0.9805146718504119,0.03847968578338623
19B,19B,19B_19C,54015,21,5,0.9615917976928807,0.954059057669166,0.040555715560913086
19B,19B,19B_19C,54015,21,10,0.948432313775274,0.9358418957696937,0.040555715560913086
19B,19B,19B_19C,54015,21,20,0.9289253866871195,0.9128760529482551,0.040555715560913086
19B,19B,19B_19C,54015,21,50,0.8991470623239576,0.8696936036286217,0.040555715560913086
19B,19B,19B_19C,54015,21,100,0.8669029326069037,0.8221975377210035,0.04285556077957153
19B,19B,19B_19C,54015,21,200,0.8416189506442213,0.778635564195131,0.05906534194946289
19B,19B,19B_19C,54015,21,500,0.8024076204581619,0.7418494862538183,0.10433053970336914
19B,19B,19B_19C,54015,21,1000,0.7456226885829773,0.7938998426363048,0.36792922019958496
19F,19F,19F,51442,80,1,0.842039335562381,0.8502060573072587,0.0008450746536254883
19F,19F,19F,51442,80,5,0.9764496909140392,0.9314460946308464,0.03773993253707886
19F,19F,19F,51442,80,10,0.9693064519264415,0.9273448738384977,0.03845632076263428
19F,19F,19F,51442,80,20,0.9642397019944793,0.9312325045682517,0.13199859857559204
19F,19F,19F,51442,80,50,0.9578938416080246,0.9187235138602698,0.17678189277648926
19F,19F,19F,51442,80,100,0.9565276184829516,0.9093151024454726,0.1984906792640686
19F,19F,19F,51442,80,200,0.9509598188250845,0.8988934139419151,0.40177416801452637
19F,19F,19F,51442,80,500,0.9236323189222815,0.8865899945569768,0.3267313241958618
19F,19F,19F,51442,80,1000,0.7912534990863498,0.8175996753625443,0.4674738049507141
2,2,2,54018,11,1,0.9856983699036347,0.9896701099633456,0.11225283145904541
2,2,2,54018,11,5,0.9783220408012143,0.9742215557777038,0.12997066974639893
2,2,2,54018,11,10,0.9702523401290479,0.9625772890517976,0.1345422863960266
